,Opponent,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OPP FG,OPP FGA,OPP FG%,OPP 3P,OPP 3PA,OPP 3P%,OPP FT,OPP FTA,OPP FT%,OPP ORB,OPP TRB,OPP AST,OPP STL,OPP BLK,OPP TOV,OPP PF,TEAM,GP,OREB,OPP OREB,REB,OPP REB,POSS,OPP POSS,PTS,OPP PTS,PPP,OPP PPP,3PA%,OPP 3PA%,FTA%,OPP FTA%,DREB,OPP DREB,ORB%,OPP ORB%,DRB%,OPP DRB%,REB%,OPP REB%,TO%,OPP TO%,Margin,Unnamed: 0,Logo,FinalFour
511,Dartmouth,L,76,83,27,68,0.397,9,30,0.3,13,20,0.65,10,28,13,10,3,8,17,28,56,0.5,9,21,0.429,18,19,0.947,7,35,15,4,4,14,22,Princeton Tigers,32,10,7,28,35,71.80799999999999,68.5056,76,83,1.058377896613191,1.2115797832585948,44.11764705882353,37.5,29.41176470588235,33.92857142857143,18,28,26.31578947368421,28.0,72.0,73.6842105263158,44.44444444444444,55.55555555555556,11.140819964349378,20.436285500747385,-7,87,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/163.png,False
512,Brown,W,78,67,24,65,0.369,8,24,0.333,22,29,0.759,10,39,12,4,1,12,25,21,56,0.375,2,16,0.125,23,34,0.676,10,31,9,5,4,12,22,Princeton Tigers,32,10,10,39,31,76.56960000000001,70.0416,78,67,1.018681043129388,0.9565743786549707,36.92307692307692,28.571428571428573,44.61538461538461,60.714285714285715,29,21,32.25806451612903,25.641025641025642,74.35897435897436,67.74193548387096,55.714285714285715,44.285714285714285,15.672016048144432,17.13267543859649,11,87,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/163.png,False
513,Yale,L (1 OT),83,93,24,55,0.436,11,22,0.5,24,31,0.774,7,31,12,3,5,16,27,28,67,0.418,7,18,0.389,30,37,0.811,11,33,8,8,5,5,21,Princeton Tigers,32,7,11,31,33,74.53439999999999,74.1888,83,93,1.1135797698780698,1.2535584886128364,40.0,26.865671641791046,56.36363636363637,55.223880597014926,24,22,24.137931034482758,31.428571428571427,68.57142857142857,75.86206896551724,48.4375,51.5625,21.466597973553153,6.7395617667356795,-10,87,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/163.png,False
514,Harvard,W,58,56,23,52,0.442,7,24,0.292,5,6,0.833,5,31,11,4,0,9,12,19,58,0.328,5,23,0.217,13,18,0.722,11,34,7,4,0,6,12,Princeton Tigers,32,5,11,31,34,56.294399999999996,58.4832,58,56,1.0302978626648478,0.9575399430947692,46.15384615384615,39.6551724137931,11.538461538461538,31.03448275862069,26,23,17.857142857142858,29.72972972972973,70.27027027027027,82.14285714285714,47.69230769230769,52.30769230769231,15.987380627557982,10.259356533158241,2,87,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/163.png,False
515,Penn,W (1 OT),77,69,27,72,0.375,9,37,0.243,14,17,0.824,8,40,13,5,4,9,16,26,68,0.382,7,22,0.318,10,15,0.667,7,44,8,4,4,10,21,Princeton Tigers,32,8,7,40,44,77.2608,74.496,77,69,0.9966244201457919,0.9262242268041238,51.388888888888886,32.35294117647059,23.61111111111111,22.058823529411764,32,37,17.77777777777778,17.94871794871795,82.05128205128206,82.22222222222223,47.61904761904762,52.38095238095238,11.648856858846917,13.423539518900345,8,87,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/163.png,False
516,Penn,W,77,70,28,62,0.452,9,24,0.375,12,19,0.632,12,38,13,1,5,9,12,27,61,0.443,8,18,0.444,8,12,0.667,8,32,15,7,5,8,21,Princeton Tigers,32,12,8,38,32,64.6656,63.6288,77,70,1.190741290577989,1.1001307583987125,38.70967741935484,29.508196721311474,30.64516129032258,19.672131147540984,26,24,33.333333333333336,23.529411764705884,76.47058823529412,66.66666666666667,54.285714285714285,45.714285714285715,13.917755344418053,12.572922953128144,7,87,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/163.png,False
517,Yale,W,74,65,23,57,0.404,9,23,0.391,19,24,0.792,10,32,11,3,2,5,18,22,50,0.44,8,22,0.364,13,19,0.684,6,30,12,3,7,9,20,Princeton Tigers,32,10,6,32,30,60.0576,58.9056,74,65,1.2321504688832055,1.1034604519774012,40.35087719298246,44.0,42.10526315789474,38.0,22,24,29.41176470588235,21.428571428571427,78.57142857142857,70.58823529411765,51.61290322580645,48.38709677419355,8.325341005967605,15.278683181225555,9,87,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/163.png,False
518,Arizona,W,59,55,26,64,0.406,4,25,0.16,3,5,0.6,7,35,9,8,6,11,15,24,57,0.421,3,16,0.188,4,7,0.571,6,35,10,5,1,13,14,Princeton Tigers,32,7,6,35,35,67.392,64.3968,59,55,0.8754748338081672,0.8540797058238919,39.0625,28.07017543859649,7.8125,12.280701754385966,28,29,19.444444444444443,17.647058823529413,82.3529411764706,80.55555555555556,50.0,50.0,16.32241215574549,20.18733850129199,4,87,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/163.png,False
519,Missouri,W,78,63,27,62,0.435,12,33,0.364,12,15,0.8,15,42,16,2,4,9,9,25,61,0.41,6,22,0.273,7,7,1.0,8,29,10,7,4,7,18,Princeton Tigers,32,15,8,42,29,60.09599999999999,60.556799999999996,78,63,1.2979233226837064,1.0403455928979075,53.225806451612904,36.0655737704918,24.193548387096776,11.475409836065573,27,21,41.666666666666664,22.857142857142858,77.14285714285714,58.333333333333336,59.15492957746479,40.84507042253521,14.97603833865815,11.559395476643417,15,87,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/163.png,False
520,Creighton,L,75,86,30,65,0.462,9,21,0.429,6,10,0.6,4,24,13,3,0,5,17,32,55,0.582,9,24,0.375,13,16,0.813,5,36,18,2,4,12,11,Princeton Tigers,32,4,5,24,36,67.584,66.2784,75,86,1.1097301136363635,1.2975569718037852,32.30769230769231,43.63636363636363,15.384615384615385,29.09090909090909,20,31,11.428571428571429,20.0,80.0,88.57142857142857,40.0,60.0,7.398200757575757,18.10544611819235,-11,87,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/163.png,False
